🟡 Content,English,Español,
S1 - Landing Page - Title,Get a one-time payment of $120 in summer food benefits for your child,Obtenga un pago único de $120 para pagar la comida de su estudiante este verano,
S1 - Landing Page - Body,"Each eligible child can receive a *one-time payment of $120*. Families may use the money to pay for groceries during the summer months. 

Some eligible families are automatically enrolled, and some need to submit an application. We can recommend whether you should apply for your child. Tap ""Do I need to apply?"" and enter your child's information.","Cada estudiante elegible puede recibir un *pago único de $120*. Este dinero se puede usar para comprar alimentos durante los meses de verano. 

Algunas familias elegibles son inscritas automátocamente y otras tienen que aplicar. Podemos recomendarle si necesita aplicar. Toque “¿Necesito presentar una solicitud?” e ingrese la información de su hijo/a.  ",
S1 - Landing Page - Action,Do I need to apply?,¿Necesito aplicar?,
S1 - Landing Page - Action Español,¿Necesito aplicar?,Do I need to apply?,
S1 - Landing Page - Action Subtext,Safe and secure,Seguro y protegido,
S1 - Landing Page - Accordion Title,How do I know if my child can get Summer EBT?,,
S1 - Landing Page - Body 2,Children may be automatically enrolled if we have information to confirm their eligibility. This usually happens for one of the following reasons:,Es posible que inscribamos automáticamente a tu hijo/a si contamos con información para confirmar su elegibilidad. Esto puede suceder por alguno de los siguientes motivos: ,
S1 - Landing Page - Body 3,"They are between ages 5 and 18. And they get SNAP (food stamps), TANF (cash assistance), Medicaid, or the Food Distribution Program on Indian Reservations (FDPIR)
Or they are temporarily unhoused or in foster care
Or they get free or low-cost meals at school
Or they are enrolled in a school that participates in the National School Lunch Program (NSLP)","Tiene entre 5 y 18 años y recibe SNAP (cupones de alimentos), TANF (asistencia en efectivo), Medicaid o el Programa de Distribución de Alimentos en Reservas Indígenas (FDPIR)
O, está temporalmente sin hogar o en cuidado de crianza temporal (foster care)
O, recibe comidas gratuitas o a bajo costo en la escuela
O, está inscrito/a en una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP)",
S1 - Landing Page - Body 4,"But, children who are not automatically enrolled may still be able to get the benefit. Parents or guardians should fill out an application to see if they qualify. Tap [""Do I need to apply?""](link) to see if you need to apply for your child.","Si tu hijo/a no queda inscrito/a automáticamente, aún podría recibir el beneficio. Deberías llenar una solicitud para ver si califica. Toca [""¿Necesito aplicar?""] (link) para saber si necesitas aplicar.",
S1 - Disclaimer - Title,What to know before we begin,Lo que debes saber antes de comenzar,
S1 - Disclaimer - Body 1,This is not an application for DC SUN Bucks.,Esto NO es una aplicación para DC SUN Bucks,
S1 - Disclaimer - Body 2,This tool will help you learn if your children are potentially eligible for Summer EBT and if you should apply.,Esta herramienta te ayudará a saber si tus hijos podrían ser elegibles para el EBT de Verano (Summer EBT) y si debes presentar una solicitud.,
S1 - Disclaimer - Body 3,The information you provide will be kept private and secure.,La información que nos proporciones se mantendrá privada y segura.,
S1 - Disclaimer - Body 4,Using this tool will not affect your potential DC SUN Bucks benefits or other benefits you get.,Usar esta herramienta no afectará tus posibles beneficios de DC SUN Bucks ni otros beneficios que recibes.,
S1 - Personal Information - Title,Check if your child needs to apply for DC SUN Bucks,Compruebe si su hijo(a) necesita solicitar beneficios de DC SUN Bucks,
S1 - Personal Information - Body,Please provide your student's information in the required fields below. This tool will check if your child is automatically enrolled to receive benefits.,Proporcione la información de su estudiante en los campos obligatorios a continuación. Esta herramienta comprobará si su hijo(a) queda inscrito de forma automática para recibir beneficios.,
S1 - Personal Information - Label Birthdate,Birthdate,Fecha de nacimiento,
S1 - Personal Information - Label Month,Month,Mes,
S1 - Personal Information - Label Day,Day,Día,
S1 - Personal Information - Label Year,Year,Año,
S1 - Confirm Personal Information - Title,Here's the information we have so far,Aquí está la información que tenemos hasta ahora.,
S1 - Confirm Personal Information - Body,"Review your child(ren)'s information below. You may add another child to see if they need to apply, too. Tap ""Submit"" if you've finished adding children.","Revise la información de su(s) hijo(s) a continuación. Puede agregar otro hijo para ver si también debe solicitar. Toque ""Enviar"" si ya terminó de agregar hijos.",
S1 - Confirm Personal Information - Table Name Heading,Name,Nombre,
S1 - Confirm Personal Information - Table Name Value,[First name] [M.] [Last name],[Nombre] [Inicial del segundo nombre] [Apellido],
S1 - Confirm Personal Information - Table Birthdate Heading,Birthdate,Fecha de nacimiento,
S1 - Confirm Personal Information - Table Birthdate Value,"[Month], [Day] [Year]","[Mes], [Día] [Año]",
S1 - Confirm Personal Information - Table Action,Update this child's information,Actualizar la información de este menor,
S1 - Confirm Personal Information - Action Add,Add another child,Agregue otro niño,
S1 - Optional ID Information - Title,We checked our records and need more information to see if this child can get DC SUN Bucks,Revisamos nuestros registros y necesitamos más información para ver si este niño puede recibir DC SUN Bucks,
S1 - Optional ID Information - Body,"We suggest providing any of the child's Student ID, SNAP, TANF, or Medicaid number if you have them. We can give you a better answer about whether they are pre-approved.","Sugerimos que proporciones el número de identificación estudiantil, SNAP, TANF o Medicaid del niño, si los tienes. Así podemos darte una mejor respuesta sobre si ya están preaprobados.",
S1 - Optional ID Information - Label Which ID,Which ID number can you provide? *,¿Cuál número de identificación puedes proporcionar? *,
S1 - Optional ID Information - Option Student ID,Unique Student ID,Identificación de estudiante única,
S1 - Optional ID Information - Option Helper Student ID,This number is the Universal Student ID Number for your child.,Este es el número de identificación universal de estudiante de su hijo(a).,
S1 - Optional ID Information - Option Medicaid ID,Medicaid identification number (CIN / I-CIN),Número de identificación de Medicaid (CIN / I-CIN),
S1 - Optional ID Information - Option Helper Medicaid ID,This number can be found on your child's Medicaid program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa Medicaid de su hijo(a) y suele tener entre 7 y 8 dígitos.,
S1 - Optional ID Information - Option SNAP Case Number,SNAP case number,Número de caso de SNAP,
S1 - Optional ID Information - Option Helper SNAP Case Number,This number can be found on your child's SNAP program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa SNAP de su hijo(a) y suele tener 7 u 8 dígitos.,
S1 - Optional ID Information - Option TANF ID,TANF identification number,Número de identificación de TANF,
S1 - Optional ID Information - Option Helper TANF ID,This number can be found on your child's TANF program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa TANF de su hijo(a) y suele tener 7 u 8 dígitos.,
S1 - Optional ID Information - Label Enter Student ID,Enter their Unique Student ID,Ingrese su ID de estudiante único,
S1 - Optional ID Information - Label Enter Medicaid ID,Enter their Medicaid identification number (CIN / I-CIN),Ingrese su número de identificación de Medicaid (CIN / I-CIN),
S1 - Optional ID Information - Label Enter SNAP Case Number,Enter their SNAP case number,Ingrese su número de caso SNAP,
S1 - Optional ID Information - Label Enter TANF ID,Enter their TANF identification number,Ingrese su número de identificación TANF,
S1 - Optional ID Information - Alert Action Log Into Portal,Contact us if you can't provide any of the suggested ID numbers.,Contáctenos si no puede proporcionar ninguno de los números de identificación sugeridos.,
S1 - Result - Title,Here's the information we found,Aquí está la información que encontramos,
S1 - Result - Apply for SEBT - Title,We recommend that you fill out an application for this child,"Para ayudarnos a decidir, le recomendamos que complete una solicitud para este menor",
S1 - Result - Apply for SEBT - Body,"Children may not be automatically enrolled because we do not have enough information to confirm their eligibility. But, they may still be eligible.","A veces los niños no se inscriben automáticamente porque no tenemos toda la información necesaria para ver si pueden participar. Sin embargo, igual podrían calificar.",
S1 - Result - Apply for SEBT - Body 1,The following children *may not be automatically enrolled*.,Es posible que los siguientes menores *no estén inscritos automáticamente*.,
S1 - Result - Apply for SEBT - Action Apply,We recommend submitting a DC SUN Bucks application for them,Recomendamos presentar una solicitud de DC SUN Bucks para ellos,
S1 - Result - Apply for SEBT - Body 2,"Children may not be automatically enrolled because we do not have enough information to determine their eligibility. However, they may still be eligible.","Es posible que los menores no estén inscritos automáticamente porque no tenemos suficiente información para determinar su elegibilidad. Sin embargo, aún podrían ser elegibles.",
S1 - Result - Apply for SEBT - Body 3,"To receive food benefits for Summer 2026, you must apply by [Date]. Applying for DC SUN Bucks usually takes 10 minutes or less.","Para recibir beneficios de alimentos en el verano de 2026, debe presentar una solicitud antes de [Fecha]. Presentar una solicitud para DC SUN Bucks suele tomar 10 minutos o menos.",
S1 - Result - Apply for SEBT - Body 4,"After you apply, you will be contacted once your application is reviewed.","Después de presentar su solicitud, nos comunicaremos con usted una vez que se haya revisado su solicitud.",
S1 - Result - Apply for SEBT - Accordion Title,How do I know if they're eligible?,¿Cómo sé si pueden calificar?,
S1 - Result - Apply for SEBT - Accordion Body 1,You should apply if your child attends a school that participates in the National School Lunch Program (NSLP) or School Breakfast Program (SBP).,"Si tu hijo va a una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP) y recibe almuerzo gratis o a precio reducido, deberías aplicar.",
S1 - Result - Apply for SEBT - Accordion Body 2,Tap here to fill out an application.,Toca tu pantalla aquí para llenar una solicitud,
S1 - Result - Apply for SEBT - Accordion Body 3,You may also use the dropdown below to check how much money your household can make in a year to be eligible.,Puedes usar este menú para ver cuánto dinero puede ganar tu familia en un año para calificar,
S1 - Result - Apply for SEBT - Accordion Label Select Number People,Select the number of people in your household,Selecciona el número de personas que viven en tu hogar,
S1 - Result - Apply for SEBT - Accordion Body Alert Income,"If your household's total gross income is less than [$28,953] every year, you are likely to be eligible. Gross income is the amount before any deductions, taxes, or expenses are taken out.","Si el ingreso total de tu hogar es menos de $28,953 cada año, es probable que seas elegible. El ingreso total es la cantidad antes de que se hagan deducciones, impuestos o gastos.",
S1 - Result - Apply for SEBT - Card 1 Title,"To receive benefits for this summer, you must apply by August 25",Para recibir beneficios para este verano debe presentar su solicitud antes del 25 de agosto,
S1 - Result - Apply for SEBT - Card 1 Body,"The sooner you apply, the sooner your application will be reviewed. Applying for DC SUN Bucks usually takes 15 minutes or less.","Cuanto antes presente su solicitud, más rápido se revisará. Solicitar beneficios de DC SUN Bucks suele tardar 15 minutos o menos.",
S1 - Result - Apply for SEBT - Card 1 Action,Apply for DC SUN Bucks,Solicitar DC SUN Bucks,
S1 - Result - Apply for SEBT - Library Applications,Copies of the paper application are also available at DC public libraries.,También hay copias de la solicitud disponibles en las bibliotecas públicas de DC.,
S1 - Result - Apply for SEBT - Card 2 Title,Do you have other children in your household?,¿Tiene otros hijos en su grupo familiar?,
S1 - Result - Apply for SEBT - Card 2 Body,"To check if you need to submit a DC SUN Bucks application for any other school-age children in your household, please provide their information by clicking on the button below.","Para verificar si necesita presentar una solicitud de DC SUN Bucks para algún otro menor en edad escolar de su grupo familiar, proporcione su información haciendo clic en el botón a continuación.",
S1 - Result - Apply for SEBT - Card 2 Action,Check another child,Revisar otro(a) niño(a),
S1 - Result - Streamlined Enrolled - Title,"Looks like your child is eligible, and you DO NOT need to submit an application for this child",Parece que su hijo(a) es elegible y NO es necesario que presente una solicitud.,
S1 - Result - Streamlined Enrolled - Body,"Based on our records, we already have all the information we need to determine your child's DC Sun Bucks eligibility for 2025.

2025 Sun Bucks benefits were issued beginning in June 2025 and expire 122 days after issuance.","Según nuestros registros ya tenemos toda la información que necesitamos para determinar la elegibilidad de DC SUN Bucks de su hijo(a) para 2025.

Los beneficios de DC SUN Bucks 2025 se emitieron a partir de junio de 2025 y vencen 122 días después de su emisión.",
S1 - Result - Streamlined Enrolled - Body 1,The following children are *likely automatically enrolled for DC SUN Bucks for 2026*.,Es *probable que los siguientes menores estén inscritos automáticamente* en DC SUN Bucks para 2026,
S1 - Result - Streamlined Enrolled - Alert Title,Check the DC SUN Bucks Portal to see where your children will receive their summer food benefits,Revisa el portal de DC SUN Bucks para ver dónde tus hijos recibirán sus beneficios de alimentos de verano,
S1 - Result - Streamlined Enrolled - Alert Body,"If they are not enrolled in SNAP or TANF and received DC SUN Bucks cards last summer, we will issue their one-time payment of $120 to the same cards.

If they are not enrolled in SNAP or TANF and new to DC SUN Bucks or their previous card has been deactivated, we will mail a new card to the address we have on file.","Si no están inscritos en SNAP o TANF y recibieron tarjetas de DC SUN Bucks el verano pasado, emitiremos su pago total de $120 en las mismas tarjetas. 

Si no está inscrito en SNAP o TANF y aún no participa en DC SUN Bucks, o si su tarjeta anterior ha sido desactivada, enviaremos por correo una tarjeta nueva a la dirección que tenemos en nuestros registros.",
S1 - Result - Streamlined Enrolled - Alert Action,"To check the mailing address we have on file, log in to the DC SUN Bucks Portal","Para verificar la dirección de envío que tenemos registrada, inicia sesión en el portal de DC SUN Bucks.",
S1 - Result - Streamlined Enrolled - Body 2,We recommend logging into the DC SUN Bucks portal to confirm,Recomendamos iniciar sesión en el portal de DC SUN Bucks para confirmar,
S1 - Result - Streamlined Enrolled - Body 3,Scroll down to view information we found about your other children.,Desliza hacia abajo para ver la información que encontramos sobre tus otros hijos.,
S1 - Result - Streamlined Enrolled - Action,Go to the DC SUN Bucks Portal,Ve al Portal DC SUN Bucks,
S1 - Result - Streamlined Enrolled - Card 1 Title,Enrolled in SNAP or TANF?,¿Está inscrito en el SNAP o TANF?,
S1 - Result - Streamlined Enrolled - Card 1 Body,"If your student has SNAP or TANF, your DC SUN Bucks will be loaded on the existing SNAP or TANF card on that date.","Si su estudiante tiene SNAP o TANF, sus beneficios de DC SUN Bucks se cargarán en la tarjeta de SNAP o TANF que ya tiene en esa fecha.",
S1 - Result - Streamlined Enrolled - Card 2 Title,Do you have other children in your household?,¿Tiene otros hijos en su grupo familiar?,
S1 - Result - Streamlined Enrolled - Card 2 Body,"To check if you need to submit a DC SUN Bucks application for any other school-age children in your household, please provide their information by clicking on the button below.","Para verificar si necesita presentar una solicitud de DC SUN Bucks para algún otro menor en edad escolar de su grupo familiar, proporcione su información haciendo clic en el botón a continuación.",
S1 - Result - None - Body 1,We don't have enough information for the following children.,No tenemos suficiente información para los siguientes niños,
S1 - Result - None - Body 2,We recommend logging into the Summer EBT portal to confirm if they are automatically enrolled.,Le recomendamos entrar al portal de Summer EBT para confirmar si sus hijos están inscritos automáticamente.,
S1 - Result - Streamlined Enrolled - Steps Heading,Next steps,,
S1 - Result - Streamlined Enrolled - Card 2 Action,Check another child,Revisar otro(a) niño(a),
S2 - Log In Disclaimer - Title,Log in to your DC SUN Bucks account,Portal de los participantes de las DC SUN Bucks,
S2 - Log In Disclaimer - Log In Disclaimer - Body 1,"You can use the same login you use to access the OSSE Parent Portal. Also, if you don't have an account, you can create one using your email address.","Puede usar el mismo inicio de sesión que utiliza para acceder al Portal de Padres de OSSE. Si no tiene una cuenta, puede crear una. ",
S2 - Log In Disclaimer - Log In Disclaimer - Body 2,Contact us if you need assistance logging into your account.,Contáctenos si necesita ayuda para iniciar sesión en su cuenta ,
S2 - Log In Disclaimer - Log In Disclaimer - Body 3,DC SUN Bucks Call Center.,línea de servicio al cliente de la DC SUN Bucks.,
S2 - Portal Dashboard - Alert Address Updated,Your mailing address has been updated,Su dirección ha sido actualizada,
S2 - Portal Dashboard - Alert Address Title,"A replacement for the card[s] ending in [[9999], [9999], and [9999],] will be sent to the following address","Las tarjeta terminadas en [[9999], [9999], y [9999], van a ser remplazadas y enviadas a la siguiente dirección",
S2 - Portal Dashboard - Alert Address Body,"[Street address line 1]
[Street address line 2]
[City], [State] [ZIP Code]

Check back here to see when the card has been mailed.","[Street address line 1]
[Street address line 2]
[City], [State] [ZIP Code]

Regrese aquí para ver cuando se ha enviado su tarjeta. ",
S2 - Portal Dashboard - Alert Contact Updated,Your contact preferences have been updated,Se han actualizado sus preferencias de contacto,
S2 - Portal Dashboard - Alert Address Update Error,There was an issue updating your mailing address. Please try again later.,Hubo un problema al actualizar su dirección postal. Vuelva a intentarlo más tarde,
S2 - Portal Dashboard - Alert Contact Update Error,There was an issue updating your contact preferences. Please try again later.,Hubo un problema al actualizar sus preferencias  de conta. Vuelva a intentarlo más tarde,
S2 - Portal Dashboard - Alert Check Address Title,Is your address correct?,Revisa tu dirección,
S2 - Portal Dashboard - Alert Check Address Body,Please check your preferred mailing address to make sure you can receive DC SUN Bucks cards and other mail from us.,"Por favor, revisa tu dirección postal preferida para asegurarte de que puedas recibir las tarjetas DC SUN Bucks y otros envíos por correo de nuestra parte.",
S2 - Portal Dashboard - Alert Check Address Link 1,"Yes, this is my address","Si, esta es mi dirección postal",
S2 - Portal Dashboard - Alert Check Address Link 2,"No, change my mailing address","No, cambiar mi dirección postal",
S2 - Portal Dashboard - Logout,Logout,Cerrar sesión,
S2 - Portal Dashboard - Action Navigation - Lead,I want to,Quiero,
S2 - Portal Dashboard - Action Navigation - Check Existing Cards,Check existing cards,Revisar mis tarjetas existentes,
S2 - Portal Dashboard - Action Navigation - Order replacement cards,Request new cards,Pedir tarjetas de reemplazo,
S2 - Portal Dashboard - Action Navigation - Change my mailing address,Change my mailing address,Cambiar mi dirección de correspondencia,
S2 - Portal Dashboard - Action Navigation - Change my contact information,Change my contact information,Cambiar mi información de contacto,
S2 - Portal Dashboard - Action Navigation - Check existing applications,Check existing applications,Revisar solicitudes pendientes,
S2 - Portal Dashboard - Action Navigation - Activate Card,Activate a card,,
S2 - Portal Dashboard - Action Navigation - Apply,Apply for DC SUN Bucks,Enviar una solicitud para la DC SUN Bucks,
S2 - Portal Dashboard - Profile Table - Heading Status,Status,Estado,
S2 - Portal Dashboard - Profile Table - Status Enrolled,Enrolled,Inscrito automáticamente,
S2 - Portal Dashboard - Profile Table - Status Application In-Progress,Application in-progress,Solicitud en proceso,
S2 - Portal Dashboard - Profile Table - Status Application Denied,Application denied,Solicitud rechazada,
S2 - Portal Dashboard - Profile Table - Status Enrolled Description,Your children are enrolled because we have enough information to confirm their eligibility automatically.,,
S2 - Portal Dashboard - Profile Table - Status Check Address,Check mailing address,Revisar dirección postal,
S2 - Portal Dashboard - Profile Table - Heading Contact,Your preferred contact,Su método de contacto preferido,
S2 - Portal Dashboard - Profile Table - Heading Address,Your mailing address,Su dirección de correspondencia,
S2 - Portal Dashboard - Profile Table - Update your profile,Update your profile,Actualizar su perfil,
S2 - Portal Dashboard - Profile Table - Physical Mail,Physical Mail,Correo físico,
S2 - Portal Dashboard - Profile Table - Action Change Address,Change my mailing address,Cambiar mi dirección de correspondencia,
S2 - Portal Dashboard - Profile Table - Action Change Contact,Change my contact information,Cambiar mi información de contacto,
S2 - Portal Dashboard - Section - Cards Heading,DC SUN Bucks Cards,Tarjetas DC SUN Bucks,
S2 - Portal Dashboard - Section - Cards Body,Here are your children's DC SUN Bucks cards we have on file.,Estas son las tarjetas DC SUN Bucks de sus hijos que tenemos en archivo. Aprende a gestionar tus tarjetas usando ebtEDGE a continuación.,
S2 - Portal Dashboard - Section - Cards Alert Body,"If your child is eligible for SUN Bucks through SNAP or TANF participation, they will not have a DC Sun Bucks card. Their benefits will be loaded onto the SNAP or TANF EBT card.","Si su hijo es elegible para SUN Bucks a través de la participación en SNAP o TANF, no tendrá una tarjeta DC Sun Bucks. Sus beneficios se cargarán en la tarjeta EBT de SNAP o TANF.",
S2 - Portal Dashboard - Card Table - Heading Issued,Benefit issue date,Beneficios asignados,
S2 - Portal Dashboard - Card Table - Heading Exp Date,Benefit expiration date,Fecha de vencimiento del beneficio,
S2 - Portal Dashboard - Card Table - Heading Card Type,Benefit issued to,Beneficios asignados a,
S2 - Portal Dashboard - Card Table - Types,[DC SUN Bucks/SNAP EBT/TANF EBT] Card,Tarjeta [DC SUN Bucks/SNAP EBT/TANF EBT],
S2 - Portal Dashboard - Card Table - Types Co-loaded,[SNAP EBT/TANF EBT] Card,Tarjeta [SNAP EBT/TANF EBT] ,
S2 - Portal Dashboard - Card Table - Type SEBT,DC SUN Bucks Card,Tarjeta DC SUN Bucks,
S2 - Portal Dashboard - Card Table - Type SNAP,SNAP EBT Card,Tarjeta SNAP EBT ,
S2 - Portal Dashboard - Card Table - Type TANF,TANF EBT Card,Tarjeta TANF EBT,
S2 - Portal Dashboard - Card Table - Heading Card Number,Card number,Número de tarjeta,
S2 - Portal Dashboard - Card Table - Last Four Digits,[9999] (last 4 digits),[9999] (últimos 4 dígitos),
S2 - Portal Dashboard - Card Table - Heading Card Status,Card status,Estado de la tarjeta,
S2 - Portal Dashboard - Card Table - Heading Mailing address,Mailing address,Dirección de correspondencia,
S2 - Portal Dashboard - Card Table - Status Requested,Requested on [MM/DD/YYYY],Solicitada el [MM/DD/YYYY],
S2 - Portal Dashboard - Card Table - Status Mailed,Mailed on [MM/DD/YYYY],Enviado por correo el [MM/DD/YYYY],
S2 - Portal Dashboard - Card Table - Status Active,Active,Activa,
S2 - Portal Dashboard - Card Table - Status Deactivated,Deactivated,Desactivada,
S2 - Portal Dashboard - Card Table - Status Message Requested 1,We've requested a new DC Sun Bucks card that will arrive in the mail within 2–3 weeks. Check back here to see when the card has been mailed.,Hemos solicitado una nueva tarjeta de DC SUN Bucks que llegará por correo en un plazo de 2 a 3 semanas. Regrese aquí para ver cuándo se ha enviado la tarjeta.,
